artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
jay-z,big pimpin',283066,TRUE,1999,69,90.25641026,81.48148148,11,-6.307,0,24.30555556,18.81298992,0.00672,6.846424385,96.81397739,138.083,hip hop,4.717766667
leann rimes,i need you,229826,FALSE,2001,61,49.02564103,73.67367367,7,-7.124,1,6.371527778,2.239641657,9.58E-05,13.83352872,57.96505653,144.705,pop,3.830433333
avant,separated,255600,FALSE,2000,55,81.84615385,48.04804805,0,-5.564,1,4.791666667,27.65957447,0,27.78429074,66.08427544,108.241,pop,4.26
enrique iglesias,be with you,219360,FALSE,1999,54,70.05128205,86.68668669,1,-5.436,0,5.711805556,4.423292273,0.00161,5.662368113,55.70400822,121.996,pop,3.656
toni braxton,he wasn't man enough,261933,FALSE,2000,66,75.79487179,94.79479479,11,-1.916,0,7.135416667,1.025755879,3.14E-05,38.21805393,78.72559096,88.009,pop,4.36555
bow wow,bounce with me (feat. xscape) - edited album version,175893,FALSE,2000,36,87.38461538,75.07507508,8,-5.153,1,29.16666667,48.60022396,0,31.06682298,95.99177801,72.016,hip hop,2.93155
dr. dre,forgot about dre,222293,TRUE,1999,79,94.76923077,74.07407407,8,-1.299,1,13.4375,9.260918253,0,19.10902696,63.82322713,133.974,hip hop,3.704883333
backstreet boys,show me the meaning of being lonely,234960,FALSE,1999,68,64.61538462,62.56256256,6,-5.088,0,4.375,25.86786114,0,8.968347011,70.19527235,167.998,pop,3.916
samantha mumba,gotta tell you,201946,FALSE,2018,43,74.76923077,63.26326326,0,-8.75,0,4.84375,21.38857783,0,19.46072685,79.54779034,109.981,pop,3.365766667
mýa,case of the ex (whatcha gonna do),236906,FALSE,2000,59,79.17948718,68.86886887,1,-4.715,0,7.03125,6.136618141,9.79E-05,8.499413834,35.76567318,98,pop,3.948433333
mary mary,shackles (praise you),198346,FALSE,2000,64,79.8974359,83.48348348,7,-2.773,1,28.125,3.840985442,0,10.38686987,82.21993834,100.46,R&B,3.305766667
next,wifey,243666,FALSE,2004,52,85.02564103,65.26526527,7,-8.693,0,18.75,7.502799552,0,9.519343494,74.61459404,99.581,hip hop,4.0611
janet jackson,doesn't really matter,265026,FALSE,2001,47,79.07692308,79.67967968,5,-3.081,0,13.19444444,11.11982083,0.00278,11.50058617,82.32271326,99.316,pop,4.4171
ricky martin,she bangs - english version,280626,FALSE,2000,60,64.61538462,95.0950951,1,-4.012,1,13.99305556,0.102463606,6.51E-06,43.72801876,88.18088386,143.866,pop,4.6771
jagged edge,he can't love u,244053,FALSE,2000,55,73.94871795,83.68368368,8,-3.972,0,35.76388889,12.54199328,0,27.54982415,52.20966084,126.279,hip hop,4.06755
